name_of_state_or_ut,state_ut_code,constituency_code,constituency_name,winner_votes,nota_votes,nota_position,runner_votes,mov,winning_party
Karnataka,S10,27,Chikkballapur,822619,6596,3,659159,10.677937314641827,Bharatiya Janata Party
Maharashtra,S13,29,MumbaiNorthCentral,445545,9749,3,429031,1.8136052240264822,Indian National Congress
Karnataka,S10,25,Bangalorecentral,658915,12126,3,626208,2.484371558134768,Bharatiya Janata Party
NCT OF Delhi,U05,6,WestDelhi,842658,8699,3,643645,13.05436426775048,Bharatiya Janata Party
Maharashtra,S13,25,Thane,734231,17901,3,517220,16.577519273253948,Shiv Sena
Maharashtra,S13,47,Kolhapur,754522,5983,3,599558,11.121876718011436,Indian National Congress
Karnataka,S10,26,BangaloreSouth,750830,7857,3,473747,22.178314664839572,Bharatiya Janata Party
Maharashtra,S13,27,MumbaiNorthWest,452644,15161,3,452596,0.0050264990748116745,Shiv Sena
Karnataka,S10,24,BangaloreNorth,986049,13554,3,726573,14.80601470809767,Bharatiya Janata Party
Maharashtra,S13,26,MumbaiNorth,680146,13346,3,322538,34.53504755705737,Bharatiya Janata Party
Karnataka,S10,21,Mysore,795503,4490,3,656241,9.381241693180003,Bharatiya Janata Party
Gujarat,S06,7,AhmedabadEast,770459,10503,3,308704,40.923428154127436,Bharatiya Janata Party
Karnataka,S10,11,Dharwad,716231,6147,3,618907,7.122183753863004,Bharatiya Janata Party
Karnataka,S10,23,BangaloreRural,1079002,10649,3,809355,14.047480125446727,Bharatiya Janata Party
Andhra Pradesh,S01,3,Vizianagaram,743113,23250,3,493762,19.192036587487166,Telugu Desam
Rajasthan,S20,16,JODHPUR,730056,10591,3,614379,8.359143194506874,Bharatiya Janata Party
Andhra Pradesh,S01,5,Anakapalle,762069,26235,3,465539,22.374016472853597,Bharatiya Janata Party
Jharkhand,S27,5,Kodarma,791657,42152,3,414643,27.51999322609937,Bharatiya Janata Party
Rajasthan,S20,24,KOTA,750496,10261,3,708522,2.797973812074339,Bharatiya Janata Party
Rajasthan,S20,6,JAIPURRURAL,617877,7519,3,616262,0.12796599828533428,Bharatiya Janata Party
Maharashtra,S13,31,MumbaiSouth,395655,13411,3,342982,6.813104940674908,Shiv Sena (Uddhav Balasaheb Thackrey)
Rajasthan,S20,13,AJMER,747462,11402,3,417471,27.472258506017834,Bharatiya Janata Party
Karnataka,S10,5,Gulbarga,652321,8429,3,625116,2.075961653657404,Indian National Congress
Karnataka,S10,10,Haveri,705538,10865,3,662025,3.1173968987227463,Bharatiya Janata Party
Gujarat,S06,9,Surendranagar,669749,13299,3,408132,23.123768646525427,Bharatiya Janata Party
Bihar,S04,38,Gaya,494960,17288,3,393148,10.564961667614426,Hindustani Awam Morcha (Secular)
Gujarat,S06,5,Sabarkantha,677318,21076,3,521636,12.264625109701122,Bharatiya Janata Party
Gujarat,S06,6,Gandhinagar,1010972,22005,3,266256,56.34096483437004,Bharatiya Janata Party
Bihar,S04,21,Hajipur,615718,36927,3,445613,14.723575377989206,Lok Janshakti Party(Ram Vilas)
Gujarat,S06,25,Navsari,1031065,20462,3,257514,57.80464439223564,Bharatiya Janata Party
Madhya Pradesh,S12,26,INDORE,1226751,218674,2,51659,64.5389022054229,Bharatiya Janata Party
Gujarat,S06,20,Vadodara,873189,18388,3,291063,48.024294043059065,Bharatiya Janata Party
Bihar,S04,5,Sitamarhi,515719,32133,3,464363,4.694367052044251,Janata Dal  (United)
Gujarat,S06,22,Bharuch,608157,23283,3,522461,7.147504011796846,Bharatiya Janata Party
Gujarat,S06,15,Bhavnagar,716883,18765,3,261594,43.47546675426267,Bharatiya Janata Party
Uttar Pradesh,S24,25,Bareilly,567127,6260,3,532323,3.1087268368409693,Bharatiya Janata Party
Rajasthan,S20,7,JAIPUR,886850,10428,3,555083,22.673171785153407,Bharatiya Janata Party
Bihar,S04,22,Ujiarpur,515965,23269,3,455863,5.767569870680223,Bharatiya Janata Party
Andhra Pradesh,S01,10,Eluru,746351,22515,3,564494,13.158505957458816,Telugu Desam
Uttarakhand,S28,2,Garhwal,432159,11375,3,268656,22.171972699818692,Bharatiya Janata Party
Andhra Pradesh,S01,2,Srikakulam,754328,24605,3,426427,26.535948452924124,Telugu Desam
Maharashtra,S13,32,Raigad,508352,27270,3,425568,8.16996818228472,Nationalist Congress Party
Karnataka,S10,12,UttaraKannada,782495,10176,3,445067,26.721446101043668,Bharatiya Janata Party
Gujarat,S06,11,Porbandar,633118,13563,3,249758,41.26689896520581,Bharatiya Janata Party
Bihar,S04,6,Madhubani,553428,20719,3,401483,14.784553889745144,Bharatiya Janata Party
Bihar,S04,23,Samastipur,579786,32668,3,392535,17.1069220312226,Lok Janshakti Party(Ram Vilas)
Bihar,S04,25,Khagaria,538657,31111,3,377526,15.17392508103445,Lok Janshakti Party(Ram Vilas)
Bihar,S04,26,Bhagalpur,536031,31803,3,431163,9.855264777775375,Janata Dal  (United)
Bihar,S04,28,Munger,550146,21951,3,469276,7.099582909380459,Janata Dal  (United)
Bihar,S04,3,PurviChamparan,542193,19788,3,453906,8.222779801953639,Bharatiya Janata Party
Gujarat,S06,17,Kheda,744435,18824,3,386677,30.425531191106337,Bharatiya Janata Party
Rajasthan,S20,18,JALORE,796783,18459,3,595240,13.888731922658677,Bharatiya Janata Party
Himachal Pradesh,S08,3,HAMIRPUR,607068,5178,3,424711,17.41272249664124,Bharatiya Janata Party
Gujarat,S06,2,Banaskantha,671883,22167,3,641477,2.2098941567828545,Indian National Congress
Bihar,S04,4,Sheohar,476612,30168,3,447469,2.76079431452384,Janata Dal  (United)
Chhattisgarh,S26,10,BASTAR,458398,36758,3,403153,5.483946217719959,Bharatiya Janata Party
Gujarat,S06,13,Junagadh,584049,14013,3,448555,12.683699460708281,Bharatiya Janata Party
Maharashtra,S13,1,Nandurbar,745998,14123,3,586878,11.417345151538855,Indian National Congress
Madhya Pradesh,S12,28,KHANDWA,862679,12839,3,592708,17.848826677209622,Bharatiya Janata Party
Bihar,S04,17,Gopalganj,511866,42863,3,384686,11.963948234616812,Janata Dal  (United)
Gujarat,S06,1,Kachchh,659574,18742,3,390792,24.542782450370126,Bharatiya Janata Party
Assam,S03,10,Kaziranga,897043,24431,3,648096,15.273412407964237,Bharatiya Janata Party
Bihar,S04,24,Begusarai,649331,22382,3,567851,6.293481056606575,Bharatiya Janata Party
Bihar,S04,27,Banka,506678,34889,3,402834,10.239460437507086,Janata Dal  (United)
Bihar,S04,1,ValmikiNagar,523422,30709,3,424747,8.95555575724023,Janata Dal  (United)
Karnataka,S10,9,Bellary,730845,7889,3,631853,7.122167270780788,Indian National Congress
Karnataka,S10,15,UdupiChikmagalur,732234,11269,3,473059,21.081113177129335,Bharatiya Janata Party
Rajasthan,S20,23,BHILWARA,807640,13376,3,453034,27.185476791922692,Bharatiya Janata Party
Rajasthan,S20,22,RAJSAMAND,781203,12411,3,388980,32.33148961776561,Bharatiya Janata Party
Gujarat,S06,3,Patan,591947,16722,3,560071,2.671639601885806,Bharatiya Janata Party
Chhattisgarh,S26,1,SURGUJA,713200,28121,3,648378,4.454296765752586,Bharatiya Janata Party
Himachal Pradesh,S08,2,MANDI,537022,5645,3,462267,7.359151809885711,Bharatiya Janata Party
Chhattisgarh,S26,11,KANKER,597624,18669,3,595740,0.14888231579962552,Bharatiya Janata Party
Gujarat,S06,19,Dahod,688715,34938,3,355038,29.838039012996585,Bharatiya Janata Party
Rajasthan,S20,2,BIKANER,566737,12558,3,511026,4.981838212543882,Bharatiya Janata Party
Karnataka,S10,17,DakshinaKannada,764132,23576,3,614924,10.538999978810121,Bharatiya Janata Party
Bihar,S04,37,Aurangabad,465567,22627,3,386456,8.363745929716243,Rashtriya Janata Dal
Bihar,S04,11,Katihar,567092,22939,3,517229,4.256170905794566,Indian National Congress
Tripura,S23,2,TripuraEast,777447,18303,3,290628,42.91630853047354,Bharatiya Janata Party
Gujarat,S06,10,Rajkot,857984,15922,3,373724,38.024658786282664,Bharatiya Janata Party
Tripura,S23,1,TripuraWest,881341,14612,3,269763,50.55161599888909,Bharatiya Janata Party
Gujarat,S06,14,Amreli,580872,11349,3,259804,36.63378311460409,Bharatiya Janata Party
Gujarat,S06,18,Panchmahal,794579,20103,3,285237,45.014878519342076,Bharatiya Janata Party
Karnataka,S10,6,Raichur,670966,9850,3,591185,6.138799140363449,Indian National Congress
Assam,S03,5,Guwahati,894887,20249,3,643797,15.699120101488756,Bharatiya Janata Party
Madhya Pradesh,S12,23,MANDSOUR,945761,11662,3,445106,34.92555242721968,Bharatiya Janata Party
Bihar,S04,14,Darbhanga,566630,23904,3,388474,17.394921225092368,Bharatiya Janata Party
Bihar,S04,13,Madhepura,640649,32625,3,466115,14.427934314021307,Janata Dal  (United)
Bihar,S04,40,Jamui,509046,26182,3,396564,11.486745238365126,Lok Janshakti Party(Ram Vilas)
Jharkhand,S27,11,Khunti,511647,21919,3,361972,15.979275784097485,Indian National Congress
Uttarakhand,S28,3,Almora,429167,17019,3,195070,35.01840696368122,Bharatiya Janata Party
Madhya Pradesh,S12,25,DHAR,794449,15651,3,575784,15.344438487513374,Bharatiya Janata Party
Rajasthan,S20,25,JHALAWAR-BARAN,865376,16027,3,494387,26.101520335516494,Bharatiya Janata Party
Gujarat,S06,26,Valsad,764226,18373,3,553522,15.476883909414575,Bharatiya Janata Party
Gujarat,S06,16,Anand,612484,15930,3,522545,7.7004612279949205,Bharatiya Janata Party
Gujarat,S06,8,AhmedabadWest,611704,14007,3,325267,29.63204730583895,Bharatiya Janata Party
Gujarat,S06,21,ChhotaUdaipur,796589,29655,3,397812,31.456261206150575,Bharatiya Janata Party
Gujarat,S06,4,Mahesana,686406,11626,3,358360,30.464132121501414,Bharatiya Janata Party
Madhya Pradesh,S12,27,KHARGONE,819863,18257,3,684845,8.661785064967564,Bharatiya Janata Party
Bihar,S04,19,Maharajganj,529533,21687,3,426882,10.122284685374055,Bharatiya Janata Party
Assam,S03,14,Jorhat,751771,14555,3,607378,10.379323729836965,Indian National Congress
Gujarat,S06,23,Bardoli,763950,25542,3,533697,17.19161702130837,Bharatiya Janata Party
